index,zone,demand_factor,slack,voltage,lat,lon,name
bus026,R1,0.0,False,138,32.31893697,92.66601436,bus026
bus010,R1,0.0,False,138,34.18885033,82.71603816,bus010
bus025,R1,0.0,False,138,33.16991994,92.75366586,bus025
bus012,R1,0.04346592,False,138,43.7436442,89.62517409,bus012
bus015,R1,0.083237801,False,138,42.15052867,92.65077531,bus015
bus011,R1,0.064741478,False,138,43.84533288,87.25687171,bus011
bus113,R1,0.0,False,138,39.05539331,88.97845125,bus113
bus032,R1,0.054565453,False,138,36.501655,88.92219036,bus032
bus018,R1,0.055488963,False,138,40.97936608,92.77755068,bus018
bus074,R1,0.059243987,False,138,32.13681724,99.93505926,bus074
bus001,R1,0.047168669,False,138,46.1290621,86.76368241,bus001
bus070,R1,0.057501514,False,138,33.52271937,98.77578314,bus070
bus075,R1,0.04094805,False,138,31.58532059,100.6334508,bus075
bus027,R1,0.057344694,False,138,34.82135505,87.28396246,bus027
bus003,R1,0.036069133,False,138,45.17761285,85.91305545,bus003
bus013,R1,0.031442874,False,138,43.00329068,90.94455444,bus013
bus006,R1,0.048092176,False,138,42.59896543,85.41112042,bus006
bus019,R1,0.041618899,False,138,41.15094614,93.7360582,bus019
bus016,R1,0.023122579,False,138,41.95711018,90.21249617,bus016
bus029,R1,0.022199069,False,138,37.99014794,87.27574393,bus029
bus031,R1,0.039771881,False,138,37.95054575,88.30903359,bus031
bus115,R1,0.020343338,False,138,35.17181906,89.87612632,bus115
bus002,R1,0.01849632,False,138,45.17689922,88.08950452,bus002
bus117,R1,0.01849632,False,138,44.65172509,91.97509492,bus117
bus008,R1,0.0,False,138,41.75560907,85.37893393,bus008
bus024,R1,0.0,False,138,35.00211726,95.56055048,bus024
bus072,R1,0.0,False,138,34.4785646,97.5600359,bus072
bus073,R1,0.0,False,138,36.2787466,98.29933497,bus073
bus004,R1,0.027748838,False,138,43.55972207,84.67569391,bus004
bus007,R1,0.017572813,False,138,41.6699122,87.21418571,bus007
bus020,R1,0.016649302,False,138,39.23447566,92.96779946,bus020
bus028,R1,0.015725792,False,138,36.76553855,86.67620792,bus028
bus014,R1,0.012946554,False,138,42.81847085,91.64126803,bus014
bus021,R1,0.012946554,False,138,37.91072727,92.66928213,bus021
bus017,R1,0.009928445,False,138,40.71159982,91.02065078,bus017
bus022,R1,0.009252518,False,138,36.12561147,93.25751488,bus022
bus114,R1,0.007396787,False,138,35.23683347,88.52799159,bus114
bus023,R1,0.006473277,False,138,35.22175302,92.97713009,bus023
